,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,977,0,0,1,0,0,0,1,1,0,0.9969
y:label=1,2,1123,3,0,0,2,1,2,2,0,0.9894
y:label=2,8,0,1002,4,4,1,2,7,3,1,0.9709
y:label=3,0,0,3,988,0,3,0,5,5,6,0.9782
y:label=4,5,1,1,1,957,0,6,2,0,9,0.9745
y:label=5,4,0,0,9,1,865,6,0,5,2,0.9697
y:label=6,5,2,0,1,4,2,942,0,2,0,0.9832
y:label=7,2,5,7,2,0,0,0,1005,3,4,0.9776
y:label=8,5,0,2,5,4,2,2,3,946,5,0.9712
y:label=9,2,3,0,4,6,6,0,7,1,980,0.9712
Precision,0.9673,0.9902,0.9842,0.9733,0.9805,0.9818,0.9822,0.9738,0.9772,0.9731,
F-Measures,0.9818,0.9897,0.9775,0.9757,0.9774,0.9757,0.9826,0.9756,0.9741,0.9721,
,,,,,,,,,,,
Accuracy,0.9785,,,,,,,,,,
Avg.Precision,0.9784,,,,,,,,,,
Avg.Recall,0.9783,,,,,,,,,,
Avg.F-Measures,0.9782,,,,,,,,,,
